name,lat,lon,要素,住所,説明
一丁平,35.62643,139.2287,八王子景観100選No.89、八王子八十八景No.1,南浅川町,高尾山から小仏城山へ向かうハイキングコ－スにあり、春はサクラ、夏はヤマユリなど四季折々の自然を満喫できる。
今熊山とミツバツツジ,35.71068,139.21587,八王子景観100選No.88、八王子八十八景No.2,上川町１９,今熊神社をいただく閑静な山。春、山麓に咲くミツバツツジが見事。
片倉城跡公園,35.64022,139.33753,八王子景観100選No.74、八王子八十八景No.3、景観重要公共施設,片倉町２４７５,都指定史跡の片倉城跡がある。カタクリなど植物が豊富で、水車小屋や彫刻などもある。
小宮公園,35.67345,139.34067,八王子八十八景No.4、景観重要公共施設,暁町２丁目４１ー６,丘陵地形を取り入れ、コナラやクヌギなどの美しい雑木林に覆われている。多くの野鳥や昆虫の観察ができる。
清水公園,35.68224,139.31274,八王子景観100選No.39、八王子八十八景No.5,犬目町１４３ー２,川口川沿いにあり、雑木林や湧き水を利用した池やせせらぎなどがある。
陣馬山,35.65189,139.16654,八王子八十八景No.6,上恩方町,標高857ｍ。頂上には空に向かっていななく白馬像があり、都心の超高層ビル群や富士山が望める。
田植風景,35.71363,139.32125,八王子景観100選No.63、八王子八十八景No.7,高月町,高月一帯は八王子の米どころ。5月下旬から田植えが始まる。豊かな秋川の水が注がれ良質の米が生産される。
高尾山,35.62541,139.24374,八王子景観100選No.73、八王子八十八景No.8,高尾町,標高599ｍ。動植物の宝庫で、東京を代表するハイキングコ－スとして四季を通じて親しまれている。明治の森高尾国定公園に指定されている。
高尾山のスギ並木,35.62712,139.25009,八王子景観100選No.55、八王子八十八景No.9,高尾町,薬王院参道に並び、大きいものでは目通り7ｍ、樹高45ｍにも達し、樹齢は約700年と言われている。都指定天然記念物。
高尾梅郷,35.6387,139.25598,八王子景観100選No.90、八王子八十八景No.10,裏高尾町３１３,紅梅・白梅あわせて約1万本の梅の木があり、3月中旬あたりが見頃。花の時期には梅まつりも開催される。
滝山公園,35.7011,139.33093,八王子八十八景No.12、景観重要公共施設,高月町,関東でも最大規模の丘山城と言われる滝山城跡を中心とした自然公園。春には約5000本の桜が咲く。
多摩御陵のケヤキ並木,35.64922,139.28581,八王子景観100選No.52、八王子八十八景No.13,長房町,多摩御陵（武蔵陵墓地）への外参道。160本のケヤキが植えられている。
多摩森林科学園,35.64597,139.27952,八王子八十八景No.14,廿里町１８３３ー８１,森の科学館、樹木園（7ha、1000種）、サクラ保存林（8ha、約250種、2000本）を一般公開している。
田園風景,35.67541,139.22189,八王子八十八景No.15,上恩方町,トラクタ－で田を耕す春の田園風景。市内でもまだこのような光景を目にすることができる。
栃谷戸公園,35.62901,139.31823,八王子景観100選No.75、八王子八十八景No.16,みなみ野５丁目２９,八王子ニュ－タウン内にある、段々畑など里山の風景を再現した公園。田植えなどの体験学習が行われている。展望台から眺める富士山も素晴らしい。
長沼公園,35.6383,139.36853,八王子八十八景No.17、景観重要公共施設,長沼町,丘陵地形をいかした自然豊かな公園。丘の上からは遠く奥多摩の山並みも望め、自然林では野鳥の姿も多く見られる。
富士森公園,35.65093,139.32273,八王子八十八景No.18,台町２丁目２,市民体育館・市民球場・プ－ル・テニスコ－トなどがある市民の憩いの場。春の桜の時期は多くの花見客で賑う。
松木大石宗虎屋敷のサルスベリ,35.62749,139.38797,八王子八十八景No.19,松木２ー４,戦国時代の大石氏の屋敷跡と伝えられるところにあり、8月から9月頃に赤い花が満開になる。市指定天然記念物。
夕やけ小やけふれあいの里,35.66889,139.217,八王子景観100選No.66、八王子八十八景No.20,上恩方町２０３０,園内には体験農園や宿泊施設のほか、前田真三写真ギャラリ－、童謡「夕焼け小焼け」の作詞者・中村雨紅記念コ－ナ－もある。
蓮生寺公園,35.61955,139.39539,八王子八十八景No.21,別所１丁目２８ー１,蓮生寺の北側にある公園。吊橋などもあり、城跡を思わせるような造りとなっている。
浅川の桜並木,35.66608,139.34099,八王子景観100選No.11、八王子八十八景No.22,元横山町１丁目１１ー５,春には浅川の流れに添うように桜の大樹が咲き誇る。
今熊山・金剛の滝,35.71458,139.2141,八王子八十八景No.23,上川町,今熊山の麓にあり、雄滝・雌滝の上下2段からなる見ごたえのある滝。周辺には滝が多く、江戸時代には修験者が滝に打たれて修行したという。
北浅川の見どころ,35.6853,139.28086,八王子景観100選No.18、八王子八十八景No.24,上壱分方町７１ー１,川沿いにメタセコイアの化石など古い地層が見られ、豊かな自然とともに独特な景観を成している。周辺の河川敷は、夏場は草が生茂るため、訪れるには春や秋が適している。
城山・御主殿の滝,35.65201,139.2567,八王子八十八景No.25,元八王子町３丁目,八王子城跡の御主殿跡近くにある。落城の際、城中の婦女子が身を投じたため、城山川の流れが三日三晩赤く染まったという言い伝えがある。
高尾山・琵琶滝,35.62876,139.25885,八王子八十八景No.26,高尾町,登山コ－スの途中にある滝で、蛇滝とともに水の行の修行場となっており、毎年4月1日の滝開きから10月末の滝じまいまで、修行者の姿が見られる。
多摩川の景観,35.69279,139.35766,八王子八十八景No.27、景観重要公共施設,平町、小宮町、高月町,平町周辺の多摩川沿いに広がる美しい緑地。昔、対岸の大神村（現在の昭島市）へ渡る「平の渡し」があった。
長池見附橋,35.61176,139.39244,八王子景観100選No.84、八王子八十八景No.28,別所２丁目５８,長池公園内の池にかかる橋。文明開化時の面影が偲ばれる橋梁として親しまれてきた四谷見附橋を移設した。
萩原橋,35.66619,139.32328,八王子八十八景No.29,元本郷町１丁目,浅川に架る秋川街道の橋。建設費を寄付した製糸家の萩原彦七に因んで名付けられた。
南浅川橋,35.64894,139.29147,八王子景観100選No.17、八王子八十八景No.30,長房町,南浅川に架り、多摩御陵（武蔵陵墓地）への参道となっている。昭和11年（1936）架橋。
陵北大橋からの眺望,35.68109,139.2724,八王子景観100選No.1、八王子八十八景No.31,下恩方町,北浅川と山入川の合流点近くに架る陵北大橋。橋の上からは恩方の豊かな自然を見渡せる。
六本杉公園湧水池,35.64907,139.34159,八王子八十八景No.32,子安町２丁目２６ー９,ＪＲ八王子駅の南側、六本杉公園内にある。夏は涼しさをかもし出している。
安養寺,35.69176,139.29279,八王子八十八景No.33,犬目町１０８４,永和3年（1377）の創建。困民党事件で逮捕・留置された首領・塩野倉之助と多くの農民のために建てられた碑がある。
永林寺,35.63129,139.3823,八王子景観100選No.45、八王子八十八景No.34,下柚木４,戦国時代、滝山城主大石定久が開基となり、叔父である一種長純を開山として創建した。
