name,lat,lon,要素,住所,説明
陵北大橋からの眺望,35.681088,139.272404,八王子景観100選No.1、八王子八十八景No.31,下恩方町,北浅川と山入川の合流点近くに架かる陵北大橋からの眺めで、多彩な表情を見せる山並みの景観が望めます。
浅川の眺望,35.668045,139.315773,八王子景観100選No.2,中野上町４丁目,市中央を流れる浅川の雄大な眺めが望めます。
八王子城跡からの眺望,35.652811,139.251935,八王子景観100選No.3,元八王子町３丁目2664ー2,関東平野の西端に位置する八王子城跡から、関東平野を一望できます。山城の歴史や広大な眺めを楽しむことができます。
高尾山からの眺望,35.625411,139.243738,八王子景観100選No.4,高尾町,標高か599ｍの山頂から市街地や富士山を眺めることができ、「関東の富士見百景」に選定されています。
陣馬山からの眺望,35.652098,139.166502,八王子景観100選No.5,上恩方町,標高855ｍで、頂上からは、東に市内のまち並み、西に富士山を望むなど、360度の大パノラマが楽しめます。
堀之内沖ノ谷戸公園からの眺望,35.635259,139.400155,八王子景観100選No.6,堀之内２５３,多摩ニュータウン開発以前の地形を活かして高台につくられた公園で、市街地や遠く丹沢山系など、様々な眺めが楽しめます。
片倉つどいの森公園の広場と眺望,35.637397,139.330863,八王子景観100選No.7,片倉町３５０６,緑に囲まれた広大な公園で、山並みを背景としたまちなみを見渡すことができ、遠くには富士山を眺めることができます。
滝山公園のサクラと眺望,35.7011,139.330931,八王子景観100選No.8、八王子八十八景No.12,高月町,昭和46（1971）に地域住民と行政等によりサクラを植樹し、都内有数のサクラの名所地となりました。眼下に広がるまちなみや多摩川など、様々な景観が楽しめます。
大平公園からの眺望,35.607087,139.380941,八王子景観100選No.9,南大沢３丁目１１,多摩ニュータウン内にあり、池や見晴らしの良い休憩所から住宅街を見渡せる眺望です。
上柚木公園からの眺望,35.619988,139.371987,八王子景観100選No.10,上柚木２丁目,多摩ニュータウン内に位置し、木立ち越しに中高層の建築物群が望めます。
浅川のサクラ,35.664189,139.341079,八王子景観100選No.11、八王子八十八景No.22,元横山町１丁目１１ー５,浅川に沿ってサクラが植えられ、春になると沿川がサクラ色に染まります。サクラ並木の淡い色彩は多くの市民に親しまれています。
大栗川の沿川風景,35.627242,139.398208,八王子景観100選No.12,堀之内,周辺の住宅地と大栗川が一体となって開放的で緑豊かな風景が広がっています。
松竹橋周辺の沿川風景,35.668807,139.253495,八王子景観100選No.13,下恩方町,河川の護岸は手入れの行き届いた玉石積み等でつくられ、松竹橋からは里山の原風景が感じられます。
多摩大橋付近の風景,35.691981,139.372259,八王子景観100選No.14,小宮町,多摩大橋周辺からは多摩川の雄大な景観が開けています。また、多摩大橋の大きなアーチがひときわ目を引くランドマークとなっています。
南浅川の沿川風景,35.639601,139.269625,八王子景観100選No.15,下恩方町,南浅川沿川には、サクラ並木やコスモスなど多種多様な木々や花々があり、周囲の山並みへの眺めもあわせて、四季折々の多彩な表情が楽しめます。
南浅川の鯉のぼり,35.650082,139.296308,八王子景観100選No.16、八王子八十八景No.61,東浅川町,長房ふれあい端午まつりで、南浅川をはさんで千匹の鯉のぼりが泳ぎます。市民の心にも強く残る、緑や水辺を背景とした色鮮やかな景観です。
南浅川橋周辺の風景,35.648941,139.291467,八王子景観100選No.17、八王子八十八景No.30,長房町,武蔵陵墓地への参道であり、威厳のある橋梁のデザインや、周囲の南浅川や陵南公園など様々な景観を眺め、楽しむことができます。
北浅川の渓谷,35.685299,139.280859,八王子景観100選No.18、八王子八十八景No.24,上壱分方町７１ー１,大小の自然石がつくる渓谷の風景は、川の荒々しい表情をみせてくれます。市街地の近くでこのような渓谷を眺めらるのは、八王子の魅力の一つになっています。
歳時の舞台となる甲州街道,35.651474,139.300233,八王子景観100選No.19、八王子八十八景No.80、景観重要公共施設,並木町他,八王子まつりやいちょう祭りをはじめ、様々な行事イベントが行われ、市民にしたしまれている。
甲州街道のイチョウ並木,35.659959,139.316371,八王子景観100選No.20,千人町１丁目１,大正天皇の御陵造営を記念して昭和4年（1929）に植えられたイチョウ並木です。
寺田町の並木道,35.61741,139.296731,八王子景観100選No.21,寺田町,並木は高く、緑に覆われたような景観をつくり出しています。
並木のある高尾街道,35.649913,139.276685,八王子景観100選No.22,元八王子３丁目他,ケヤキ並木に覆われた緑豊かな道路で、心地よい景観をつくりだしています。
上恩方町の陣馬街道の沿道風景,35.670513,139.233055,八王子景観100選No.23,上恩方町,陣馬街道は古くから多くの往来があり、沿道には、長屋門のある住宅等が立地し、里山の風景や歴史を感じさせる風景が広がる地域です。
富士森公園の花と木々,35.650921,139.322732,八王子景観100選No.24,台町２丁目２,野球場、テニスコートなどがある市民の憩いの場で、四季を通じて多くの人が訪れ、人々の触れ合いや賑わいのある景観が生まれています。
小宮公園の雑木林と大谷弁天池,35.673442,139.340673,八王子景観100選No.25,暁町２丁目４１ー６,自然環境を活かした公園の一つで、園内には沢が流れています。雑木林や湧水の中を木道を歩いて散策することができます。
緑豊かな観栖寺台公園,35.670071,139.264366,八王子景観100選No.26,西寺方町１３６ー９,小田野城の入り口ちかくにある緑豊かな公園で、遠くに山並みが見えます。
緑豊かな久保山公園,35.68545,139.355542,八王子景観100選No.27,久保山町２丁目４８,自然を残した公園で緑豊かな場所です。まちの中で自然を体験でき、暮らしに潤いを与える景観の一つです。
鑓水の谷戸風景,35.621246,139.35446,八王子景観100選No.28,鑓水,鑓水地区には、里山や自然が残り、多摩ニュータウンの近くでも、どこか懐かしい昔ながらの谷戸の風景が見られます。
里山文化を継承する長池公園,35.61147,139.392704,八王子景観100選No.29、景観重要公共施設,別所２丁目５８,雑木林と長池・築池のため池を活かした自然豊かな公園で、里山の文化を継承していくために長く活動が行われています。
長沼公園の雑木林,35.638298,139.368519,八王子景観100選No.30,長沼町,丘陵地にある雑木林に覆われた公園で、園路が整備されており、手軽な山歩きが楽しめます。
大和田町の芳林閣,35.659911,139.353604,八王子景観100選No.31,大和田町３丁目１１ー２０,多種多様な樹木が育つ日本庭園と戦前からの建築物があり「全国都市緑化はちおうじフェア」のスポット会場にもなった。
平山城址公園の雑木林,35.639851,139.382841,八王子景観100選No.32,堀之内,日当たりのよい公園で、クヌギやコナラの雑木林が広がっています。
丘陵地形が残る別所公園,35.616535,139.39905,八王子景観100選No.33,別所２丁目３３ー２,多摩ニュータウンの計画の一環で整備された公園で、緑の多いなだらかな地形を活かしています。
ホタルが棲む宇津貫緑地,35.621297,139.330261,八王子景観100選No.34,七国１丁目１５,八王子ニュータウン開発以前からあった森林地をできる限り残した環境で、水辺にはホタルの生息もみられます。
丘陵地形が残る宇津貫公園,35.625142,139.324654,八王子景観100選No.35,七国６丁目１,開発以前の丘陵地形上につくられた公園で、周囲のまちなみを眺めることができます。
別所のせせらぎ緑道,35.615272,139.394157,八王子景観100選No.36,別所２丁目１２６ 多摩ニュータウン,水辺と緑地が融合した通りのデザインは、潤いのある住環境を形成しています。
叶谷榎池の湧水,35.672372,139.300093,八王子景観100選No.37,叶谷町,地域に潤いをもたらし、湧水の水辺と榎がシンボルとなって、地域の個性豊かな魅力をつくりだしています。
東京薬科大学の薬用植物園,35.637834,139.382476,八王子景観100選No.38、八王子八十八景No.74,堀之内１４３２ー１,都内で最も広い薬用植物園ですが、一般にも開放しています。
水辺豊かな清水公園,35.682239,139.312744,八王子景観100選No.39、八王子八十八景No.5,犬目町１４３ー２,川口川沿いに位置する公園で、雑木林や湧き水を利用した池、せせらぎなど、身近に自然を体験できる場所です。
自然と歴史が残る八王子城跡,35.652693,139.256429,八王子景観100選No.40、八王子八十八景No.51,元八王子町３丁目2664ー2,平成18年に「日本100名城」に選ばれ、曳橋の復元など戦国時代の雰囲気を体験できる景観が再現されています。
空堀が残る滝山城跡,35.7018,139.32816,八王子景観100選No.41,高月町,国史跡に指定されている滝山城跡は全国でも有数の中世城郭跡といわれており、山並みに囲まれた八王子ならではの歴史を語る貴重な景観の一つです。
裏高尾町の旧甲州街道の沿道風景,35.639534,139.250711,八王子景観100選No.42,裏高尾町１１１６,旧甲州街道の小仏峠越えのルートにあるまち並みで、山に囲まれた自然の沿道風景です。
東浅川町の旧甲州街道のまちなみ,35.646248,139.286173,八王子景観100選No.43,東浅川町,黒塀や街道沿いの水路敷きには水が流れ歴史を感じさせる景観です。
広園寺,35.647084,139.316661,八王子景観100選No.44、八王子八十八景No.39、特に景観上重要な都選定歴史的建造物等,山田町１５７７,1390年の創建で七堂伽藍の配置が、臨済宗の伝統を伝えています。そのたたずまい、規模は都内でも稀なもので境内一帯は東京都の史跡に指定されています。
永林寺,35.631292,139.382302,八王子景観100選No.45、八王子八十八景No.34,下柚木４,天文元年（1532）に創建された寺院で、緑に囲まれた厳かな雰囲気をよく残しています。
大塚八幡神社,35.638172,139.421346,八王子景観100選No.46,大塚５１５,9月の例大祭ではお囃子、神輿など様々な催しが行われ、多くの人々で賑わいます。
往時の面影が残る絹の道,35.621587,139.352107,八王子景観100選No.47、八王子八十八景No.37、景観重要公共施設,鑓水,幕末期から明治中期まで、八王子から横浜に輸出用生糸を運んでいた道のひとつで丘陵地を貫く形で、昔の面影を良く残しています。
諏訪町の諏訪神社,35.677667,139.289656,八王子景観100選No.48,諏訪町１,夏には、諏訪祭りやまんじゅう祭りと称される例大祭が行われ多くの人で賑わっています。
明神町の子安神社,35.659095,139.341307,八王子景観100選No.49、八王子八十八景No.42,明神町４丁目１０ー３,天平宝字3年(759年)創建と、奈良時代からの歴史があり、森と湧水地で名高かい場所です。
スギ並木と武蔵陵墓地,35.651143,139.281504,八王子景観100選No.50、八王子八十八景No.48,長房町１８３３,陵墓地内には北山杉が植えられ、大きく成長した並木は、荘厳で美しい並木道です。
大久保長安ゆかりの産千代稲荷神社,35.658826,139.324658,八王子景観100選No.51、八王子八十八景No.36,小門町８２,大久保長安は八王子に陣屋をおき、陣屋内の鬼門除の守護神として創立された神社です。
武蔵陵墓地外参道のケヤキ並木,35.649221,139.285805,八王子景観100選No.52、八王子八十八景No.13,長房町,高さが20ｍほどのケヤキが約160本植えられており、風格の感じられる並木道です。
真覚寺の湧水,35.648964,139.305521,八王子景観100選No.53,散田町５丁目１９,境内には心字池という湧水池があり、庭園や紫陽花などの花々を楽しむことができます。
高尾山薬王院,35.6259,139.250283,八王子景観100選No.54、八王子八十八景No.47,高尾町２１７７,天平16年（744）に開山し、信仰の霊山、都心近くの行楽地として知られる高尾山の象徴です。
高尾山のスギ並木,35.627115,139.25009,八王子景観100選No.55、八王子八十八景No.9,高尾町,高尾山薬王院参道に並ぶ樹齢700年ともいわれる杉の巨木で、自然の中でも厳かで風格の感じられる景観を成しています。
高尾山麓の風景,35.631201,139.268179,八王子景観100選No.56、景観重要公共施設,高尾町,信仰や行楽など多くの人々が訪れる高尾山の麓では、古くから多くの商店が建ち並んでいます。
とちの木デッキと駅前広場,35.65429,139.338407,八王子景観100選No.57,子安町４丁目８ー１４,JR八王子駅南口の２階とサザンスカイタワー八王子をつなぐペデストリアンデッキで、交流の場として賑わいのある空間となっています。
高尾山口駅の風景,35.63249,139.269921,八王子景観100選No.58,高尾町,木組み屋根で多摩産杉材を使い木材の温かみを感じさせて建物と周辺環境をなじませてる。
南大沢駅前のまちなみ,35.615293,139.378703,八王子景観100選No.59,南大沢２丁目,駅前の歩行者専用デッキでは広場を活用した店舗や環境づくりなど様々な取組みが行われ、多くの人々が活動しています。
歳時の舞台となる西放射線ユーロード,35.657893,139.336924,八王子景観100選No.60、八王子八十八景No.84、景観重要公共施設,中町他,八王子駅北口からのびる歩行者専用の道で、伝統的な祭りや現代的な行事・イベントなど、様々な活動が行われています。
中町の黒塀,35.658429,139.335111,八王子景観100選No.61,中町,多摩地域で唯一の花街で、地域の取組みによって風情あるまちの姿を今につたえています。
富士森公園の花火,35.651409,139.321237,八王子景観100選No.62,台町２丁目２ 富士森公園内,市内唯一の花火大会で、迫力ある色とりどりの花火が夜空を彩ります。市内広く様々なところから眺められ、市民に親しまれています。
高月町の田園風景,35.71363,139.321252,八王子景観100選No.63、八王子八十八景No.7,高月町,良質な水環境に恵まれた高月町の田園は都内最大級の規模を誇り、日本の原風景ともいえる魅力的な田園風景が広がっています。
